Date,Actual,Predicted
2018-01-14,172.35,171.87444008709528
2018-01-21,171.7,171.8052630325517
2018-01-28,165.1,166.14309892743714
2018-02-04,163.2,164.77385179058518
2018-02-11,162.5,164.82282844396215
2018-02-18,162.8,164.8809955108522
2018-02-25,163.0,165.0095394302774
2018-03-04,163.9,164.68606581053797
2018-03-11,165.35,167.39131636042237
2018-03-18,170.15,168.77634269823722
2018-03-25,169.7,168.94223155210722
2018-04-01,169.1,168.2297294619073
2018-04-08,171.05,170.07958367523767
2018-04-15,174.25,174.79458486019567
2018-04-22,170.85,171.66494988339787
2018-04-29,171.05,170.81886713353478
2018-05-06,167.55,167.8255819726488
2018-05-13,166.35,167.9776070010569
2018-05-20,165.1,165.42425700298284
2018-05-27,164.25,166.37112962709494
2018-06-03,161.55,164.61470226916015
2018-06-10,156.05,164.0250677048456
2018-06-17,156.9,164.09734298842346
2018-06-24,159.45,164.15932386185713
2018-07-01,150.25,163.69919188228323
2018-07-08,152.7,163.93514085765963
2018-07-15,155.3,164.0095257262993
2018-07-22,154.65,163.94340519135412
2018-07-29,156.45,164.04607492291262
2018-08-05,159.55,164.25531943196424
2018-08-12,157.95,164.1247310984708
2018-08-19,164.25,165.3483732014911
2018-08-26,170.85,170.45261429605182
2018-09-02,169.45,169.56765444168514
2018-09-09,175.0,173.75525361799308
2018-09-16,167.35,167.9480702033516
2018-09-23,166.6,167.47143171452655
2018-09-30,163.1,165.380163612154
2018-10-07,164.05,164.8673715146466
2018-10-14,161.85,164.6579484370726
2018-10-21,159.3,164.41462471206393
2018-10-28,157.9,164.14082051336305
2018-11-04,154.3,163.90239764707076
2018-11-11,154.05,163.99629862144457
2018-11-18,146.1,163.72503087781342
2018-11-25,139.95,163.66878440010385
2018-12-02,137.85,163.67860306199492
2018-12-09,143.65,163.737084253074
2018-12-16,150.7,163.94202161116064
2018-12-23,149.35,163.7745451918873
2018-12-30,145.65,163.7246580997302
2019-01-06,147.55,163.78505727314996
2019-01-13,144.35,163.66909461403324
2019-01-20,139.55,163.69282467621153
