Date,Actual,Predicted
2018-01-14,284.45,284.39731168230844
2018-01-21,299.65,298.53117407283173
2018-01-28,292.15,291.8149756365229
2018-02-04,300.45,296.0457381165928
2018-02-11,303.0,299.02653942707786
2018-02-18,310.55,301.25299328468634
2018-02-25,312.8,300.9357616244213
2018-03-04,304.7,297.5004120457375
2018-03-11,278.7,278.8980968050178
2018-03-18,269.25,267.94897087986874
2018-03-25,283.5,286.89201198660265
2018-04-01,275.45,275.6830977215326
2018-04-08,285.35,287.92557451456497
2018-04-15,292.05,292.33109852587336
2018-04-22,285.55,286.36116077502595
2018-04-29,271.75,273.1215017373844
2018-05-06,270.55,270.46678695831537
2018-05-13,266.4,263.10930861536104
2018-05-20,276.05,277.7492255807605
2018-05-27,294.15,296.9362331609856
2018-06-03,289.9,289.31149914487514
2018-06-10,279.05,281.612908341535
2018-06-17,265.1,263.98434042015526
2018-06-24,264.4,264.3184885615817
2018-07-01,271.3,269.7411590914632
2018-07-08,267.75,269.5186691463469
2018-07-15,263.15,262.7136843413455
2018-07-22,261.95,262.33880582662795
2018-07-29,278.5,280.65621185460213
2018-08-05,276.0,278.35985145754813
2018-08-12,281.2,286.0057690788491
2018-08-19,290.4,292.3074998098424
2018-08-26,286.1,289.534346646295
2018-09-02,285.75,285.2291289539245
2018-09-09,277.3,279.1496076897496
2018-09-16,275.65,277.25746683485715
2018-09-23,266.85,269.47357744257533
2018-09-30,263.05,265.7221933214001
2018-10-07,278.75,282.0180474671239
2018-10-14,275.75,278.70148044762385
2018-10-21,280.8,282.09271464393964
2018-10-28,261.35,259.7274763299299
2018-11-04,268.2,270.0991286187144
2018-11-11,263.45,264.23866090524194
2018-11-18,256.75,255.1178320962294
2018-11-25,244.3,240.22630682806334
2018-12-02,236.8,238.1927278329963
2018-12-09,246.75,241.07833994768924
2018-12-16,251.7,251.00898132826273
2018-12-23,242.35,240.22970896558587
2018-12-30,235.7,234.5715731577241
2019-01-06,232.3,233.5563530540257
2019-01-13,230.0,232.53927023185994
2019-01-20,223.75,230.10031231296455
