Date,Actual,Predicted
2018-02-07,297.85,300.35950816330603
2018-02-08,300.1,299.609365980645
2018-02-09,300.45,296.2693596970682
2018-02-12,300.2,300.46034298129536
2018-02-14,307.6,307.26284605817034
2018-02-15,307.35,307.1037855146203
2018-02-16,303.0,303.6376416402163
2018-02-19,304.65,304.53191842686397
2018-02-20,310.25,308.2933634398463
2018-02-21,310.9,307.6748512149212
2018-02-22,312.05,309.5102546876126
2018-02-23,310.55,309.14731583499304
2018-02-26,314.2,312.3886479730455
2018-02-27,310.65,309.0356283654451
2018-02-28,309.55,306.855818791822
2018-03-01,312.8,310.7739777942712
2018-03-05,305.5,303.82176302056405
2018-03-06,306.45,305.3547573962353
2018-03-07,306.45,305.466151063295
2018-03-08,305.9,305.02708901687726
2018-03-09,304.7,303.61490416256845
2018-03-12,297.8,298.1844458193601
2018-03-13,294.75,293.32415066804197
2018-03-14,293.55,291.9942697324079
2018-03-15,295.5,296.4136482896397
2018-03-16,278.7,275.7958908413942
2018-03-19,271.7,271.6366475682928
2018-03-20,270.35,271.3155884563111
2018-03-21,271.2,272.57441743204845
2018-03-22,269.0,270.9052481803265
2018-03-23,269.25,270.497726088735
2018-03-26,272.9,274.68094003677015
2018-03-27,275.4,276.25796999326656
2018-03-28,283.5,284.8470937323305
2018-04-02,277.8,277.5548360823623
2018-04-03,278.45,277.9272010981439
2018-04-04,274.4,275.13930671071085
2018-04-05,276.6,277.78725317961363
2018-04-06,275.45,275.8291266035645
2018-04-09,274.45,275.4041593449343
2018-04-10,280.5,280.9407435281338
2018-04-11,282.35,282.6176019002368
2018-04-12,280.95,281.73155673768747
2018-04-13,285.35,285.2220771983575
2018-04-16,285.1,284.67684807651165
2018-04-17,287.6,288.3664181121557
2018-04-18,285.05,284.04890066817273
2018-04-19,282.85,282.9002128330982
2018-04-20,292.05,294.6755776832407
2018-04-23,289.2,288.46916586783664
2018-04-24,290.1,290.9563015421826
2018-04-25,290.7,290.3507237140776
2018-04-26,290.3,289.82544513421607
2018-04-27,285.55,285.7239678759839
2018-04-30,283.85,284.19506096299887
2018-05-02,280.75,280.33285071682707
2018-05-03,277.45,278.4416647182135
2018-05-04,271.75,273.51156618703527
2018-05-07,267.65,269.78844822407734
2018-05-08,268.55,271.3048414705598
2018-05-09,267.7,270.29104376995383
2018-05-10,268.9,272.16300890052577
2018-05-11,270.55,272.57380920935367
2018-05-14,269.7,270.2822889712494
2018-05-15,264.0,266.295293849873
2018-05-16,264.7,265.8319080500928
2018-05-17,271.4,274.90519380611556
2018-05-18,266.4,268.7535985443083
2018-05-21,269.75,271.4167029021072
2018-05-22,278.45,281.2058899648454
2018-05-23,275.8,276.45951334571964
2018-05-24,279.85,280.37485416377575
2018-05-25,276.05,276.9713494952919
2018-05-28,284.95,287.4298212032898
2018-05-29,282.15,281.2157529659175
2018-05-30,288.75,289.7170136534269
2018-05-31,294.5,299.69864199021833
2018-06-01,294.15,294.4999756085943
2018-06-04,292.3,293.6693946859383
2018-06-05,285.4,286.1557699082861
2018-06-06,291.05,290.72698386789034
2018-06-07,289.05,287.93223054539635
2018-06-08,289.9,290.49128500973234
2018-06-11,287.8,288.8005480137337
2018-06-12,283.5,284.0489212858912
2018-06-13,283.9,285.64300724999015
2018-06-14,283.55,282.1555266141867
2018-06-15,279.05,280.32018370604334
2018-06-18,274.6,274.31786845758796
2018-06-19,273.1,273.5003398393295
2018-06-20,270.6,270.9054208537187
2018-06-21,267.75,269.91008760860814
2018-06-22,265.1,266.8374367569857
2018-06-25,259.05,262.6180747940468
2018-06-26,264.5,270.59706741074285
2018-06-27,266.45,274.5972192137165
2018-06-28,260.5,262.0246736616082
2018-06-29,264.4,268.31331747528617
2018-07-02,260.85,263.6930207818062
2018-07-03,261.0,265.3571670418664
2018-07-04,264.15,268.30104993279775
2018-07-05,270.15,272.43618851579544
2018-07-06,271.3,271.607059853684
2018-07-09,271.05,272.7959316220525
2018-07-10,278.0,280.11682341715033
2018-07-11,265.25,266.61248198521236
2018-07-12,265.2,269.55902198461126
2018-07-13,267.75,271.52194862324126
2018-07-16,261.55,265.11412537656713
2018-07-17,264.7,268.690490285293
2018-07-18,264.0,266.69811510165385
2018-07-19,261.5,264.71785540482944
2018-07-20,263.15,266.37275977258645
2018-07-23,262.3,266.4551713705173
2018-07-24,266.15,269.6609869112942
2018-07-25,264.15,267.41665547633323
2018-07-26,264.7,268.66475679543026
2018-07-27,261.95,264.89163442215073
2018-07-30,262.5,267.4577568980989
2018-07-31,261.7,265.91903852833804
2018-08-01,270.3,273.6301477061958
2018-08-02,273.2,275.47549536222573
2018-08-03,278.5,280.2562043484227
2018-08-06,282.85,283.3511893435755
2018-08-07,275.4,278.0782400606025
2018-08-08,276.25,278.42179310343266
2018-08-09,280.15,281.950627728053
2018-08-10,276.0,275.454425342559
2018-08-13,279.25,282.14857200002604
2018-08-14,281.5,281.32232595267794
2018-08-16,282.45,283.3088379726277
2018-08-17,281.2,282.59078984597676
2018-08-20,284.2,287.57129322222744
2018-08-21,291.55,291.9750293741792
2018-08-23,288.6,288.7713671769128
2018-08-24,290.4,291.66637560514016
2018-08-27,292.6,293.4063222628438
2018-08-28,294.65,296.0879221637917
2018-08-29,287.05,286.7250070746804
2018-08-30,285.55,285.79341092899847
2018-08-31,286.1,287.86710368288226
2018-09-03,287.45,288.1919857708805
2018-09-04,279.95,280.612620270362
2018-09-05,277.5,277.65585903703266
2018-09-06,283.2,283.4355106576795
2018-09-07,285.75,285.9797564457259
2018-09-10,280.15,280.7183195813024
2018-09-11,282.8,283.5312284156666
2018-09-12,281.3,282.7455528838336
2018-09-14,277.3,279.9422184024829
2018-09-17,274.8,275.35559430908324
2018-09-18,273.45,273.1226283914277
2018-09-19,280.55,282.0541802190579
2018-09-21,275.65,278.2500964756766
2018-09-24,281.45,282.7393856087969
2018-09-25,275.2,277.8789749660401
2018-09-26,272.5,278.47190962259845
2018-09-27,276.3,277.3558944282584
2018-09-28,266.85,267.9269208134798
2018-10-01,272.55,273.81075247693735
2018-10-03,276.55,278.3842611241767
2018-10-04,272.1,271.28110532217363
2018-10-05,263.05,265.4144817219923
2018-10-08,267.65,272.45147397682456
2018-10-09,272.9,276.8312366350139
2018-10-10,271.6,273.73077763560786
2018-10-11,266.6,268.74638749727416
2018-10-12,278.75,282.88791178681726
2018-10-15,275.7,276.6240002150489
2018-10-16,276.5,277.8609086902327
2018-10-17,279.65,281.9321091510467
2018-10-19,275.75,276.77357016506664
2018-10-22,276.0,277.948791715202
2018-10-23,277.1,278.5013813625408
2018-10-24,277.05,277.61560551893893
2018-10-25,281.65,281.7949884371613
2018-10-26,280.8,280.2672245189438
2018-10-29,287.05,286.83768032889253
2018-10-30,275.9,276.25058498423283
2018-10-31,266.15,265.71187684760247
2018-11-01,261.1,264.53201502220446
2018-11-02,261.35,267.84322576257426
2018-11-05,263.6,268.1044084429104
2018-11-06,265.3,268.8626817382922
2018-11-07,266.95,269.5955900855289
2018-11-09,268.2,271.482388375931
2018-11-12,264.05,267.3989010435176
2018-11-13,265.4,269.9727087740247
2018-11-14,265.6,268.28215637103676
2018-11-15,263.05,266.193573758597
2018-11-16,263.45,267.74710338186225
2018-11-19,263.6,267.46928220272247
2018-11-20,261.4,265.598912368117
2018-11-21,260.95,265.3169779541429
2018-11-22,256.75,262.27228730597767
2018-11-26,250.7,258.8750362492267
2018-11-27,251.9,261.77468640240005
2018-11-28,247.85,258.7435673674163
2018-11-29,246.65,258.9930520697368
2018-11-30,244.3,257.91227384486575
2018-12-03,248.85,262.55317537073955
2018-12-04,252.2,262.44867704189994
2018-12-05,245.0,256.8562832720227
2018-12-06,240.7,256.7077223016025
2018-12-07,236.8,256.24299119569224
2018-12-10,238.6,257.68435785327745
2018-12-11,242.2,259.7708168407151
2018-12-12,247.05,261.3219573858529
2018-12-13,244.8,258.2820990154536
2018-12-14,246.75,260.3731712173984
2018-12-17,251.4,263.11492830532995
2018-12-18,252.25,261.2813765614785
2018-12-19,251.85,260.7713715230276
2018-12-20,251.0,260.49986452016867
2018-12-21,251.7,260.7907650644615
2018-12-24,248.7,259.47203517353796
2018-12-26,247.3,259.31040772403867
2018-12-27,249.65,261.4194276499098
2018-12-28,242.35,255.65980871996925
2018-12-31,240.75,257.7839775144846
2019-01-01,241.1,258.2983483548211
2019-01-02,237.0,255.7781106113231
2019-01-03,235.0,256.3199107488663
2019-01-04,235.7,257.498375723838
2019-01-07,234.3,256.5107612370789
2019-01-08,233.95,256.6498225937151
2019-01-09,232.95,256.17809692681465
2019-01-10,233.05,256.57396227582734
2019-01-11,232.3,256.1544123227246
2019-01-14,230.7,255.5093328789463
2019-01-15,232.6,257.30484750943936
2019-01-16,231.95,256.1073472258921
2019-01-17,232.05,256.2448364814951
2019-01-18,230.0,255.35183670478506
2019-01-21,229.15,255.6036228599295
