Date,Actual,Predicted
2018-01-14,196.1,198.136906189315
2018-01-21,194.3,197.1969584112299
2018-01-28,192.9,197.01979179508476
2018-02-04,193.2,197.29238375729946
2018-02-11,195.55,198.43032895752793
2018-02-18,193.25,196.87882765305233
2018-02-25,197.4,199.0977904116014
2018-03-04,192.9,196.74452744824472
2018-03-11,192.25,197.1973058823442
2018-03-18,194.25,197.6008900894366
2018-03-25,193.25,197.17225653256628
2018-04-01,195.95,198.5417624200595
2018-04-08,197.5,198.64741371879703
2018-04-15,207.2,209.28116095284557
2018-04-22,207.9,207.69018991995728
2018-04-29,207.4,205.171513027071
2018-05-06,206.85,207.8803544002978
2018-05-13,212.95,212.5928392820129
2018-05-20,212.05,211.84119618441594
2018-05-27,205.95,203.97067904732546
2018-06-03,197.9,197.96510005719455
2018-06-10,197.85,198.0690908281446
2018-06-17,197.7,198.14170705277618
2018-06-24,186.85,196.37707499878195
2018-07-01,181.8,196.29021245846388
2018-07-08,181.75,196.31774299645
2018-07-15,175.8,196.216113806817
2018-07-22,179.9,196.31269593486257
2018-07-29,190.2,197.62847388304576
2018-08-05,190.55,196.89142217138135
2018-08-12,187.1,196.4013298794292
2018-08-19,190.95,197.2291370301521
2018-08-26,201.5,203.27760425769554
2018-09-02,195.7,197.51720367955534
2018-09-09,200.15,198.80973598480017
2018-09-16,200.4,199.41104435157672
2018-09-23,188.4,196.4535448352189
2018-09-30,187.3,196.52183076656672
2018-10-07,188.45,196.4955609026737
2018-10-14,189.15,196.62305661033335
2018-10-21,188.4,196.57576125185292
2018-10-28,189.85,196.59225303413737
2018-11-04,191.7,196.81096340147388
2018-11-11,188.1,196.43369532955353
2018-11-18,179.8,196.26481912974364
2018-11-25,180.15,196.31548181507802
2018-12-02,182.65,196.40325144707387
2018-12-09,185.7,196.34877705599817
2018-12-16,196.9,202.05213824272644
2018-12-23,197.05,197.84083635472373
2018-12-30,195.9,197.66293638245796
2019-01-06,194.35,197.57534048601923
2019-01-13,193.6,197.3121896108148
2019-01-20,187.4,196.4463212774306
