Date,Actual,Predicted
2017-12-06,200.25,200.68920100408468
2017-12-07,202.3,203.3309820794283
2017-12-08,203.1,203.42223905369485
2017-12-11,204.3,204.8553666398472
2017-12-12,202.9,203.44125098319762
2017-12-13,200.5,200.92010699580698
2017-12-14,200.1,201.00245335158712
2017-12-15,198.85,200.17694388589706
2017-12-18,199.9,199.78391262460661
2017-12-19,202.6,203.802869512694
2017-12-20,202.95,202.9538209716046
2017-12-21,203.1,204.28409068233455
2017-12-22,203.05,203.28682013757395
2017-12-26,202.45,203.14965702750877
2017-12-27,201.2,202.94723103620595
2017-12-28,199.15,200.28856439629988
2017-12-29,200.35,201.93703384485121
2018-01-01,200.2,201.25103547024239
2018-01-02,200.75,201.69390843838738
2018-01-03,201.65,202.5608173674257
2018-01-04,200.35,201.85861982747758
2018-01-05,201.25,202.18659330117583
2018-01-08,200.55,202.29542834534348
2018-01-09,201.0,201.66024075404343
2018-01-10,199.85,200.97764671843873
2018-01-11,197.85,199.14775523848581
2018-01-12,196.35,198.56691782240702
2018-01-15,199.3,201.37421306144248
2018-01-16,196.2,198.35953402447052
2018-01-17,197.4,199.4884628365471
2018-01-18,197.0,199.08707266226827
2018-01-19,196.1,198.51118335487493
2018-01-22,195.3,198.2888431657028
2018-01-23,195.85,198.2367924817565
2018-01-24,195.95,198.53668536682815
2018-01-25,194.3,198.02946112457698
2018-01-29,194.15,198.11596897768797
2018-01-30,194.95,198.4224212675806
2018-01-31,193.8,197.78956764914918
2018-02-01,194.85,198.128930465059
2018-02-02,192.9,197.5588527429249
2018-02-05,196.5,201.94762184919426
2018-02-06,194.95,197.73775618125867
2018-02-07,195.5,198.30299426805396
2018-02-08,193.2,197.426353627581
2018-02-09,193.2,197.7898118937707
2018-02-12,198.5,202.57618861533467
2018-02-14,195.45,198.17051383023994
2018-02-15,197.9,199.96252727959376
2018-02-16,195.55,198.5188274931621
2018-02-19,194.15,198.3282937006446
2018-02-20,195.0,198.47962192120835
2018-02-21,193.95,198.01329859593093
2018-02-22,190.25,197.37835453088587
2018-02-23,193.25,198.58292446551525
2018-02-26,196.15,199.45528579654578
2018-02-27,197.75,199.42153334495083
2018-02-28,197.7,198.97246446545097
2018-03-01,197.4,198.98357400389762
2018-03-05,196.95,198.39321535777864
2018-03-06,193.15,198.03798885370082
2018-03-07,193.35,197.79676927365145
2018-03-08,195.4,198.6849827989854
2018-03-09,192.9,197.8667863046104
2018-03-12,195.0,198.70366032886662
2018-03-13,195.05,198.37921152056694
2018-03-14,194.35,198.11741145768804
2018-03-15,194.8,198.31873942574381
2018-03-16,192.25,197.94278230023093
2018-03-19,194.2,198.39128726200167
2018-03-20,194.9,198.3186158667
