Date,Actual,Predicted
2018-02-07,164.8,163.9636874599673
2018-02-08,163.65,165.08118320551336
2018-02-09,163.2,165.77564120198093
2018-02-12,164.75,165.85205775775287
2018-02-14,162.8,164.70272984790282
2018-02-15,162.9,164.59188219386968
2018-02-16,162.5,165.17628949742772
2018-02-19,163.0,166.7884959944555
2018-02-20,163.75,166.28895634640537
2018-02-21,162.25,163.88171467976082
2018-02-22,160.5,163.77933086325467
2018-02-23,162.8,166.9693658331782
2018-02-26,163.0,164.5536280599361
2018-02-27,165.5,165.85930725920446
2018-02-28,163.25,164.91991258121055
2018-03-01,163.0,164.29995070622505
2018-03-05,163.25,164.11662332302527
2018-03-06,163.05,164.75815537329152
2018-03-07,163.15,164.92407274375142
2018-03-08,165.3,166.70366230639024
2018-03-09,163.9,165.14936180725206
2018-03-12,171.0,170.74665341072455
2018-03-13,169.4,168.34724325643205
2018-03-14,170.0,170.84580437587468
2018-03-15,169.85,169.33809648710397
2018-03-16,165.35,165.76169671757933
2018-03-19,167.05,167.97271865815918
2018-03-20,166.1,165.98793262354437
2018-03-21,170.2,170.83128414331986
2018-03-22,170.5,170.10464401174053
2018-03-23,170.15,169.89425221940834
2018-03-26,170.1,170.06331964558274
2018-03-27,171.0,170.86068551250787
2018-03-28,169.7,168.59268095773774
2018-04-02,170.3,170.15899786431302
2018-04-03,169.5,169.728138262374
2018-04-04,166.35,166.3300280797083
2018-04-05,168.7,169.99878150451207
2018-04-06,169.1,169.04029033024977
2018-04-09,169.1,169.65115954542588
2018-04-10,168.35,168.91605610706085
2018-04-11,168.4,169.3214643288012
2018-04-12,169.25,169.4056199417922
2018-04-13,171.05,171.50150849240842
2018-04-16,173.7,173.97920712700866
2018-04-17,177.15,177.47822088871794
2018-04-18,178.3,178.45708403672083
2018-04-19,177.45,176.77881043910926
2018-04-20,174.25,172.98872292075686
2018-04-23,173.55,173.9063646892433
2018-04-24,172.9,173.46940856823477
2018-04-25,171.8,170.36085491208163
2018-04-26,172.25,172.28477118328576
2018-04-27,170.85,170.0930780975118
2018-04-30,172.05,172.17028221939853
2018-05-02,170.45,169.8407305691812
2018-05-03,174.4,174.74283228394486
2018-05-04,171.05,170.30271453883765
2018-05-07,170.5,170.53233827261585
2018-05-08,171.25,171.1709420108793
2018-05-09,170.2,170.3995170799203
2018-05-10,168.15,168.58230899911882
2018-05-11,167.55,168.39845045003432
2018-05-14,171.75,171.99975737763714
2018-05-15,170.15,170.28937594869464
2018-05-16,169.6,169.9191609697104
2018-05-17,167.45,167.73583947862693
2018-05-18,166.35,166.69207006739344
2018-05-21,164.35,165.07831125823571
2018-05-22,165.0,167.0506762482526
2018-05-23,166.35,168.037818535813
2018-05-24,165.05,165.9872252515508
2018-05-25,165.1,166.8885640805577
2018-05-28,167.35,169.4451448826746
2018-05-29,165.8,166.51595015093497
2018-05-30,165.3,166.56519997065345
2018-05-31,166.95,168.04989396168173
2018-06-01,164.25,165.41374187755503
2018-06-04,161.9,164.55566270975197
2018-06-05,161.1,164.1214934051179
2018-06-06,162.35,164.525065686582
2018-06-07,162.3,164.77421942611565
2018-06-08,161.55,164.2556690495899
2018-06-11,161.6,164.48408226863
2018-06-12,161.2,164.42955857884414
2018-06-13,160.3,164.34850716552006
2018-06-14,158.35,164.0895393826133
2018-06-15,156.05,163.3851123663155
2018-06-18,156.7,163.16270374195315
2018-06-19,156.2,163.122354665993
2018-06-20,156.8,163.4679903788691
2018-06-21,154.95,163.59876248558567
2018-06-22,156.9,163.7244708957864
2018-06-25,154.75,163.49070270940956
2018-06-26,155.25,163.06052542847516
2018-06-27,153.3,163.22832034932856
2018-06-28,156.05,165.20373604029015
2018-06-29,159.45,165.51128703185302
2018-07-02,153.6,164.2391218098938
2018-07-03,155.05,162.91076212456247
2018-07-04,153.0,162.1172062370739
2018-07-05,152.1,164.9059748902975
2018-07-06,150.25,161.95104260265467
2018-07-09,151.1,162.46290988483537
2018-07-10,153.85,163.76157353341353
2018-07-11,152.8,162.68547051350362
2018-07-12,153.9,162.68503573023747
2018-07-13,152.7,163.3860108051741
2018-07-16,155.7,164.72464734028486
2018-07-17,155.35,162.97879211873948
2018-07-18,155.1,163.04849331109583
2018-07-19,154.5,163.47389392040492
2018-07-20,155.3,163.02034109461192
2018-07-23,158.15,165.18134385289684
2018-07-24,157.25,163.65828618293236
2018-07-25,150.95,164.12741987467754
2018-07-26,153.45,165.0867547152971
2018-07-27,154.65,162.90586147177143
2018-07-30,155.85,163.40231517765508
2018-07-31,155.15,163.30857267856388
2018-08-01,155.35,162.93664106994575
2018-08-02,155.4,163.14669743378158
2018-08-03,156.45,163.28811918296088
2018-08-06,156.55,163.59601451947378
2018-08-07,158.6,164.50546137704572
2018-08-08,158.15,163.0753946765034
2018-08-09,160.4,165.0307347596617
2018-08-10,159.55,163.74531162023584
2018-08-13,158.05,163.66854435061833
2018-08-14,156.95,163.66012382158075
2018-08-16,158.25,163.66920841412252
2018-08-17,157.95,163.54247758389747
2018-08-20,158.5,163.8354807443583
2018-08-21,161.2,164.9865210379119
2018-08-23,164.5,166.40693631421289
2018-08-24,164.25,166.21577094361731
2018-08-27,166.1,167.27961256590982
2018-08-28,168.25,173.8117553834745
2018-08-29,166.0,166.27698027530644
2018-08-30,169.2,170.2747614564864
2018-08-31,170.85,172.04037585787697
2018-09-03,169.1,168.95803094974576
2018-09-04,167.9,168.35207087922134
2018-09-05,167.7,168.4720952624845
2018-09-06,168.6,169.9265561065724
2018-09-07,169.45,169.45022768587697
2018-09-10,168.95,169.40386255122712
2018-09-11,169.55,170.8144702591988
2018-09-12,169.9,170.15518332050132
2018-09-14,175.0,174.78735171267869
2018-09-17,172.6,171.05065034630164
2018-09-18,169.7,169.35394739422534
2018-09-19,169.1,169.70267329519825
2018-09-21,167.35,168.51954098640422
2018-09-24,168.3,169.98270089255962
2018-09-25,169.8,169.77170108300368
2018-09-26,167.7,167.38594424844015
2018-09-27,167.6,168.64787295695808
2018-09-28,166.6,167.43211831622497
2018-10-01,169.15,170.46223414147087
2018-10-03,167.35,167.067736396333
2018-10-04,166.9,166.77297669449317
2018-10-05,163.1,164.29762818233257
2018-10-08,163.55,165.1050495799185
2018-10-09,161.55,164.40214600342438
2018-10-10,164.75,167.29636276107587
2018-10-11,163.1,164.78136447768102
2018-10-12,164.05,165.90152879044174
2018-10-15,164.55,165.70047634647133
2018-10-16,164.0,165.0194949328826
2018-10-17,162.75,164.7758710930154
2018-10-19,161.85,164.61419201021454
